LOJA;LONGITUDE;LATITUDE;REGIAO;DISTRITO
569;-47,44798427;-23,54522687;GR04;CAMPINAS
570;-43,68083735;-22,92097612;GR03;RIO ZONA OESTE
571;-42,01421903;-22,88176975;GR12;REG. DOS LAGOS
572;-46,55603468;-23,11722058;GR01;ZONA LESTE-SP
573;-43,17109227;-22,52428739;GR12;REG. SERRANA/MG INT
574;-47,89249964;-22,02152599;GR04;SP INTERIOR
575;-47,38429987;-22,18477745;GR04;CAMPINAS
576;-46,7004842;-23,5214798;GR01;TABOÃO/OSASCO
577;-43,19334978;-22,91161041;GR08;BAIXADA2
578;-43,93069609;-19,91309007;GR02;MG INTERIOR
579;-43,928626;-19,786384;GR02;TRIANGULO MINEIRO/BH
580;-34,83920027;-7,989929546;GR06;PERNAMBUCO
581;-45,59208071;-22,7380226;GR09;VALE DO PARAIBA - SP
582;-46,686815;-23,56317;GR01;CENTRO-SP
583;-43,102527;-22,899182;GR12;RIO NITERÓI
584;-46,56466512;-23,6364981;GR01;ABCD-SP
585;-43,44587844;-22,76012471;GR08;BAIXADA
586;-46,71268;-23,573317;GR01;TABOÃO/OSASCO
587;-43,42862444;-22,87890373;GR03;RIO ZONA OESTE
588;-46,70976039;-23,65245983;GR01;ZONA SUL-SP
589;-35,2970251;-8,118772252;GR06;PERNAMBUCO
590;-34,92751519;-8,047101613;GR06;PERNAMBUCO 2
591;-46,37908004;-23,96185055;GR09;BAIXADA SANTISTA -SP
592;-43,0445782;-22,82184454;GR12;RIO NITERÓI
593;-46,49064628;-23,5393879;GR01;ZONA LESTE-SP
594;-44,299544;-23,00325;GR03;RIO ZONA OESTE
595;-46,57461888;-23,54379763;GR01;ZONA LESTE-SP
596;-42,932566;-22,915382;GR12;REG. DOS LAGOS
597;-43,22636316;-22,89986611;GR08;BAIXADA
598;-50,34112;-21,289565;GR04;SP INTERIOR
599;-46,44212794;-23,49334443;GR01;ZONA LESTE-SP
600;-46,40260704;-23,4961747;GR01;ZONA LESTE-SP
601;-35,25481028;-7,845790567;GR06;PERNAMBUCO
602;-42,97948887;-22,43873408;GR12;REG. SERRANA/MG INT
603;-40,30203039;-20,33704348;GR02;ESPIRITO SANTO
605;-45,70701172;-23,10028139;GR09;VALE DO PARAIBA - SP
606;-44,451621;-22,466197;GR08;BAIXADA
607;-43,47197378;-22,85780577;GR03;RIO ZONA OESTE
608;-46,40354019;-23,53619309;GR01;ZONA LESTE-SP
609;-46,55187675;-23,46421046;GR01;ZONA LESTE-SP
610;-42,097672;-22,828274;GR12;REG. DOS LAGOS
611;-42,69290547;-21,38483823;GR12;REG. SERRANA/MG INT
612;-43,90643312;-19,88477426;GR02;TRIANGULO MINEIRO/BH
613;-43,41499624;-22,97548884;GR03;RIO ZONA OESTE
614;-45,12074767;-22,73287232;GR09;VALE DO PARAIBA - SP
615;-44,03980624;-19,9721051;GR02;MG INTERIOR
616;-46,483783;-23,54195944;GR01;ZONA LESTE-SP
617;-43,26447224;-22,85117378;GR03;RIO ZONA OESTE
618;-46,5876603;-23,50108208;GR01;ZONA LESTE-SP
619;-43,35091135;-21,76987728;GR12;REG. SERRANA/MG INT
620;-45,43442684;-23,65743511;GR09;VALE DO PARAIBA - SP
621;-46,39973502;-23,49921287;GR01;ZONA LESTE-SP
622;-40,065694;-19,399712;GR02;ESPIRITO SANTO
623;-43,55156975;-22,71554308;GR08;BAIXADA
624;-40,272363;-20,251105;GR02;ESPIRITO SANTO
625;-43,20491165;-22,80410165;GR08;BAIXADA2
626;-46,72051822;-23,43374072;GR01;ZONA LESTE-SP
627;-35,568825;-8,203895;GR06;PERNAMBUCO
628;-43,208999;-22,924366;GR08;BAIXADA2
629;-45,183455;-22,817414;GR09;VALE DO PARAIBA - SP
630;-43,96448533;-19,96840102;GR02;TRIANGULO MINEIRO/BH
632;-46,47974745;-23,48981945;GR01;ZONA LESTE-SP
633;-46,53151642;-23,46427145;GR01;ZONA LESTE-SP
634;-45,88547725;-23,18114706;GR09;VALE DO PARAIBA - SP
635;-46,87432874;-17,2161665;GR02;TRIANGULO MINEIRO/BH
636;-35,065645;-8,400426;GR06;PERNAMBUCO 2
637;-44,019925;-19,976925;GR02;TRIANGULO MINEIRO/BH
638;-43,282733;-22,642842;GR08;BAIXADA2
639;-34,89111736;-8,037537564;GR06;PERNAMBUCO
640;-44,08877144;-19,76592682;GR02;TRIANGULO MINEIRO/BH
641;-43,94887141;-19,92193014;GR02;MG INTERIOR
642;-49,29540037;-25,51900802;GR05;CURITIBA
643;-46,69133084;-23,56797739;GR01;CENTRO-SP
644;-35,015401;-8,112079;GR06;PERNAMBUCO 2
645;-43,97175591;-19,93375667;GR02;TRIANGULO MINEIRO/BH
646;-44,96013712;-22,57622547;GR09;VALE DO PARAIBA - SP
647;-35,17560535;-5,879179704;GR06;RIO G NORTE/PARAÍBA
648;-46,64352554;-23,58144714;GR01;CENTRO-SP
649;-47,42771573;-21,99697479;GR04;SP INTERIOR
650;-43,17716567;-22,91870954;GR08;BAIXADA2
651;-34,88421128;-7,12072865;GR06;RIO G NORTE/PARAÍBA
652;-46,58624163;-23,51419907;GR01;ZONA LESTE-SP
653;-41,93072116;-22,77071071;GR12;REG. DOS LAGOS
654;-43,18535414;-22,89742708;GR12;RIO NITERÓI
655;-35,113975;-8,59321;GR06;PERNAMBUCO 2
656;-43,18510941;-22,910908;GR08;BAIXADA2
657;-43,026613;-22,877496;GR12;RIO NITERÓI
658;-46,835087;-23,592512;GR01;TABOÃO/OSASCO
659;-41,04833;-21,639465;GR12;REG. DOS LAGOS
660;-35,0006243;-7,560346809;GR06;PERNAMBUCO
661;-47,523082;-23,212986;GR04;CAMPINAS
662;-41,98442191;-22,57260587;GR12;REG. DOS LAGOS
663;-43,03094247;-22,94489489;GR12;RIO NITERÓI
665;-38,48629781;-3,740299697;GR09;CEARÁ
667;-46,98236;-23,02669;GR04;CAMPINAS
668;-49,53142783;-25,45834904;GR05;CURITIBA
669;-42,879925;-20,74457993;GR02;MG INTERIOR
670;-47,67039225;-23,28343661;GR04;CAMPINAS
