LOJA;LONGITUDE;LATITUDE;REGIAO;DISTRITO
1041;-35,294762;-8,113899;GR06;PERNAMBUCO
1042;-38,47176284;-12,96295058;GR11;SALVADOR
1043;-52,02475449;-29,45668182;GR05;RIO GRANDE DO SUL
1044;-60,14582775;-12,72942063;GR13;AMAZONIA
1045;-38,462481;-12,9094488;GR11;SALVADOR
1046;-39,72648642;-17,55725997;GR11;BA INT
1048;-42,780491;-14,222916;GR11;BA INT
1049;-48,28357184;-15,73367559;GR10;TAGUATINGA
1050;-44,12067582;-19,94433007;GR02;MG INTERIOR
1051;-47,8348579;-21,22373743;GR04;SP INTERIOR
1052;-49,41275234;-20,86475832;GR04;SP INTERIOR
1053;-44,02698268;-19,87490705;GR02;MG INTERIOR
1055;-46,23421267;-23,98331981;GR09;BAIXADA SANTISTA -SP
1056;-48,44097429;-22,88950241;GR04;SP INTERIOR
1057;-44,603044;-19,865071;GR02;MG INTERIOR
1058;-39,51143744;-17,05849811;GR11;BA INT
1059;-47,4835916;-23,45870776;GR04;CAMPINAS
1060;-46,8496693;-23,71554855;GR01;TABOÃO/OSASCO
1061;-47,826881;-21,203918;GR04;SP INTERIOR
1062;-43,40264549;-22,88510157;GR03;RIO ZONA OESTE
1063;-40,66696243;-5,177743603;GR09;CEARÁ 1
1064;-48,20276297;-7,198207447;GR10;GOIÁS/TOCANTINS
1065;-56,10590868;-15,64382659;GR10;MT/MS
1066;-37,4396223;-11,27107852;GR11;AL/SE
1067;-47,34037186;-15,53099908;GR10;BRASÍLIA
1068;-48,333447;-1,365618;GR13;AMAPÁ/PARÁ
1069;-42,5237133;-19,47795758;GR02;MG INTERIOR
1070;-48,88268647;-10,17728235;GR10;GOIÁS/TOCANTINS
1071;-37,42847482;-10,69881763;GR11;AL/SE
1072;-40,26839059;-20,19349981;GR02;ESPIRITO SANTO
1073;-43,33506248;-22,95083482;GR03;BARRA/IPANEMA
1074;-42,47107918;-22,89497417;GR12;REG. DOS LAGOS
1075;-43,2268582;-19,62589998;GR02;MG INTERIOR
1076;-35,69917992;-9,630078061;GR11;AL/SE
1077;-40,490642;-9,395769;GR11;AL/SE
1078;-38,553263;-3,784433;GR09;CEARÁ 1
1079;-38,57647304;-3,76538542;GR09;CEARÁ 1
1080;;;GR10;TAGUATINGA
1081;-51,71127422;-20,78970392;GR10;MT/MS
1082;-43,36357324;-22,80601935;GR08;BAIXADA2
1083;-54,64380639;-20,45505489;GR10;MT/MS
1084;-41,85389561;-11,3040643;GR11;BA INT
1085;-49,34123897;-16,76653395;GR10;GOIÁS/TOCANTINS
1086;-52,37358408;-24,03996614;GR05;PARANA/SP INT
1087;-48,348767;-10,181664;GR10;GOIÁS/TOCANTINS
1088;-59,950315;-3,07473;GR13;AMAZONIA
1089;-60,67043142;2,819217683;GR13;AMAZONIA
1090;-35,84580134;-9,488787482;GR11;AL/SE
1092;-45,94763202;-21,42943693;GR02;MG INTERIOR
1093;-54,7162542;-2,434753472;GR13;AMAPÁ/PARÁ
1094;-39,283529;-11,562246;GR11;SALVADOR 1
1095;-55,92053995;-13,06487882;GR10;MT/MS
1096;-50,01110289;-24,79599021;GR05;PARANA/SP INT
1097;-34,90719512;-8,080168446;GR06;PERNAMBUCO
1098;-51,2802558;-23,27712458;GR05;PARANA/SP INT
1099;-49,237181;-16,841483;GR10;GOIÁS/TOCANTINS
1100;-51,31640833;-30,10843484;GR05;RIO GRANDE DO SUL
1102;-50,62166218;-24,32458621;GR05;PARANA/SP INT
1103;-39,099878;-12,67171575;GR11;SALVADOR 1
1104;-46,55797243;-23,6835257;GR01;ABCD-SP
1105;-47,13370188;-23,52965279;GR04;CAMPINAS
1106;-44,028661;-19,804853;GR02;TRIANGULO MINEIRO/BH
1107;-59,94330953;-3,045700552;GR13;AMAZONIA
1108;-43,34525839;-22,94263488;GR03;RIO ZONA OESTE
1109;-38,56074691;-3,776292536;GR09;CEARÁ 1
1110;-47,84982933;-23,34863925;GR04;CAMPINAS
1111;-44,272966;-2,543855;GR13;MARANHÃO/PIAUI
1112;-40,35489982;-20,33274371;GR02;ESPIRITO SANTO
1113;-54,73309246;-2,440712293;GR13;AMAPÁ/PARÁ
1114;-38,47349472;-3,741524542;GR09;CEARÁ
1115;-40,271655;-19,826625;GR02;ESPIRITO SANTO
1116;-47,84272173;-24,49173015;GR09;BAIXADA SANTISTA -SP
1117;-34,85292224;-7,166547932;GR06;RIO G NORTE/PARAÍBA
1118;-48,7996154;-22,5968355;GR04;SP INTERIOR
1119;-52,21391863;-3,209176529;GR13;AMAPÁ/PARÁ
1120;-44,191799;-2,5517;GR13;MARANHÃO/PIAUI
1122;-48,46668875;-1,448202628;GR13;AMAPÁ/PARÁ
1123;-38,46871582;-3,866628172;GR09;CEARÁ
1124;-38,319325;-12,899345;GR11;SALVADOR 1
1125;-42,793557;-5,086639;GR13;MARANHÃO/PIAUI
1126;-35,21944608;-5,798413199;GR06;RIO G NORTE/PARAÍBA
1127;-51,062417;0,034302;GR13;AMAPÁ/PARÁ
1128;-43,17946;-22,611977;GR12;RIO NITERÓI
1129;-52,89805821;-30,04051532;GR05;RIO GRANDE DO SUL
1130;-38,64698914;-3,764993536;GR09;CEARÁ
1131;-39,008957;-11,660912;GR11;SALVADOR 1
1132;-61,44755159;-11,44231915;GR13;AMAZONIA
1133;-34,87700556;-8,067932884;GR06;PERNAMBUCO 2
1134;-34,98013511;-7,121553444;GR06;RIO G NORTE/PARAÍBA
1135;-50,94075841;-17,81756192;GR10;GOIÁS/TOCANTINS
1136;-50,03947409;-27,73677428;GR05;SANTA CATARINA
1137;-60,677857;2,815032409;GR13;AMAZONIA
1138;-50,098124;-21,413304;GR04;SP INTERIOR
1139;-56,0867137;-9,878577138;GR10;MT/MS
1140;-42,13944155;-19,79060394;GR02;MG INTERIOR
1142;-63,0249133;-9,9232075;GR13;AMAZONIA
1143;-47,194206;-1,195435;GR13;AMAPÁ/PARÁ
1144;-42,02613935;-20,24709007;GR02;MG INTERIOR
1145;-51,34877527;-29,22818202;GR05;RIO GRANDE DO SUL
1146;-36,1986551;-7,957082;GR06;PERNAMBUCO
1147;-55,72688852;-22,54031833;GR10;MT/MS
1148;-40,51768915;-11,18358322;GR11;SALVADOR 1
1149;-47,348217;-0,621716;GR13;AMAPÁ/PARÁ
1150;-38,683923;-3,894391;GR09;CEARÁ
1151;-46,624466;-24,096695;GR09;BAIXADA SANTISTA -SP
1152;-53,74023705;-24,73325161;GR05;PARANA/SP INT
1153;-46,89113053;-23,19987645;GR04;CAMPINAS
1154;-59,9997634;-3,000697874;GR13;AMAZONIA
1155;-38,230169;-6,761363;GR06;RIO G NORTE/PARAÍBA
1156;-57,6512735;-18,9982048;GR10;MT/MS
1157;-59,990955;-3,032005001;GR13;AMAZONIA
1158;-39,58446357;-3,498867649;GR09;CEARÁ 1
1159;-38,542763;-10,836414;GR11;AL/SE
1160;-48,0609049;-15,8221336;GR10;TAGUATINGA
1161;-60,705743;2,848435;GR13;AMAZONIA
1162;-52,79099512;-28,28524464;GR05;RIO GRANDE DO SUL
1163;-47,45970202;-23,49547586;GR04;CAMPINAS
1164;-40,305661;-12,532377;GR11;BA INT
1165;-50,468794;-21,21158;GR04;SP INTERIOR
1166;-43,36420985;-21,74454302;GR12;REG. SERRANA/MG INT
1167;-48,50783058;-25,51921639;GR05;CURITIBA
1168;-56,09790011;-15,6009902;GR10;MT/MS
1169;-49,75123421;-21,67293897;GR04;SP INTERIOR
1170;-46,54064844;-22,95401506;GR04;CAMPINAS
1171;-48,87549574;-23,98275586;GR09;BAIXADA SANTISTA -SP
1172;-44,21993773;-2,552373702;GR13;MARANHÃO/PIAUI
1173;-47,40088026;-20,53894936;GR04;SP INTERIOR
1174;-41,66544169;-14,2021924;GR11;BA INT
1175;-43,22756675;-22,98587349;GR03;BARRA/IPANEMA
1176;-50,0294051;-8,043917472;GR13;AMAPÁ/PARÁ
1177;-38,702881;-12,554602;GR11;SALVADOR 1
1178;-44,17406209;-19,93499756;GR02;MG INTERIOR
1181;-48,46551;-1,434995;GR13;AMAPÁ/PARÁ
1182;-42,936571;-21,118511;GR02;MG INTERIOR
1183;-48,672091;-27,641498;GR05;SANTA CATARINA
1184;-47,2918846;-22,77853446;GR04;CAMPINAS
1185;-46,66150238;-23,49444516;GR01;ZONA SUL-SP
1186;-51,17544;-29,848375;GR05;RIO GRANDE DO SUL
1187;-46,85343267;-23,40900177;GR01;TABOÃO/OSASCO
1188;-52,60504017;-23,65774692;GR05;PARANA/SP INT
1189;-40,497835;-7,579925;GR06;PERNAMBUCO
1190;-41,468271;-7,082198;GR13;MARANHÃO/PIAUI
1191;-46,037363;-7,531617;GR13;MARANHÃO/PIAUI
1192;-49,096828;-16,695187;GR10;GOIÁS/TOCANTINS
1193;-48,46847004;-1,470057567;GR13;AMAPÁ/PARÁ
1194;-39,969429;-13,527917;GR11;BA INT
1195;-44,2550956;-2,5276321;GR13;MARANHÃO/PIAUI
1196;-47,942985;-19,739515;GR02;TRIANGULO MINEIRO/BH
1197;-44,17358248;-22,54459703;GR08;BAIXADA
1198;-37,769683;-4,562213;GR09;CEARÁ
1199;-44,28078852;-2,562646755;GR13;MARANHÃO/PIAUI
1200;-35,35057793;-5,858116342;GR06;RIO G NORTE/PARAÍBA
1201;-48,625887;-1,517334;GR13;AMAPÁ/PARÁ
1204;-58,446543;-3,14221;GR13;AMAZONIA
1205;-51,17911482;-29,16781357;GR05;RIO GRANDE DO SUL
1207;-48,45465886;-1,436548212;GR13;AMAPÁ/PARÁ
1208;-52,610753;-27,101192;GR05;SANTA CATARINA
1209;-48,081233;-15,876992;GR10;TAGUATINGA
1212;-49,066449;-22,315696;GR04;SP INTERIOR
1213;-41,46769;-7,07547;GR13;MARANHÃO/PIAUI
1214;-52,674572;-27,095296;GR05;SANTA CATARINA
1217;-42,836393;-5,089487;GR13;MARANHÃO/PIAUI
1218;-55,791494;-20,476687;GR10;MT/MS
1221;-45,44829;-21,56981;GR02;MG INTERIOR
1223;-42,803753;-5,118089;GR13;MARANHÃO/PIAUI
1224;-34,87773;-7,938458;GR06;PERNAMBUCO
1225;-41,770277;-12,41809;GR11;BA INT
1226;-56,122911;-15,652623;GR10;MT/MS
1227;-48,464556;-1,389765;GR13;AMAPÁ/PARÁ
1228;-42,789969;-5,079569;GR13;MARANHÃO/PIAUI
1230;-45,080971;-2,51854;GR13;MARANHÃO/PIAUI
1231;-54,298494;-15,557356;GR10;MT/MS
1232;-48,409709;-10,681726;GR10;GOIÁS/TOCANTINS
1233;-49,332631;-24,113148;GR09;BAIXADA SANTISTA -SP
1234;-51,246045;-30,084893;GR05;RIO GRANDE DO SUL
1236;-39,736301;-12,156353;GR11;SALVADOR 1
1237;-49,900372;-6,069869;GR13;AMAPÁ/PARÁ
1239;-54,626701;-20,480245;GR10;MT/MS
1241;-38,299473;-12,611891;GR11;SALVADOR 1
1244;-49,117153;-15,309055;GR10;GOIÁS/TOCANTINS
1245;-39,251367;-12,430996;GR11;SALVADOR 1
1246;-48,489502;-1,461535;GR13;AMAPÁ/PARÁ
1247;-45,400988;-23,801933;GR09;VALE DO PARAIBA - SP
1248;-60,07237;-3,084477;GR13;AMAZONIA
1249;-49,902667;-6,024009;GR13;AMAPÁ/PARÁ
1250;-46,542976;-23,723294;GR01;ABCD-SP
1251;-41,332683;-21,763602;GR12;REG. SERRANA/MG INT
1253;-50,142247;-29,990192;GR05;RIO GRANDE DO SUL
1254;-49,278094;-16,630225;GR10;GOIÁS/TOCANTINS
1255;-43,557278;-22,903623;GR03;RIO ZONA OESTE
1256;-43,3610808;-3,7452982;GR13;MARANHÃO/PIAUI
1257;-52,4088723;-26,8755061;GR05;SANTA CATARINA
1261;-48,355041;-1,365592;GR13;AMAPÁ/PARÁ
1262;-48,477569;-1,452772;GR13;AMAPÁ/PARÁ
1263;-57,086443;-29,755216;GR05;RIO GRANDE DO SUL
1264;-49,316781;-25,434784;GR05;CURITIBA
1266;-43,465186;-22,76163;GR08;BAIXADA
